movie,production_budget,worldwide_gross,release_month,release_year_x,genre_ids
Kidnap,21000000,34836080,8,2017,"[18, 53]"
Nocturnal Animals,22500000,32398681,11,2016,"[18, 53]"
The House,40000000,31192425,6,2017,[35]
The Bye Bye Man,7400000,31187727,1,2017,"[27, 53]"
The Hurricane Heist,40000000,30963684,3,2018,"[28, 80, 53]"
When the Bough Breaks,10000000,30768449,9,2016,"[9648, 18, 27]"
Norm of the North,18000000,30535660,1,2016,"[12, 16, 35, 10751]"
The Strangers: Prey at Night,5000000,29960051,3,2018,"[27, 53]"
Bad Times at the El Royale,32000000,29204379,10,2018,"[53, 80, 9648, 18]"
The Disaster Artist,10000000,28717667,12,2017,"[35, 18]"
White Boy Rick,30000000,25947983,9,2018,"[80, 18]"
Triple 9,20000000,25943792,2,2016,"[28, 53, 9648]"
"Paul, Apostle of Christ",5000000,25529498,3,2018,[36]
Whiskey Tango Foxtrot,35000000,25350747,3,2016,"[10752, 35]"
Only the Brave,38000000,24555177,10,2017,[18]
The Founder,15000000,24403192,1,2017,"[18, 36]"
Rock Dog,60000000,24148488,2,2017,"[12, 16, 35, 10751, 10402]"
Hunt for the Wilderpeople,2500000,23845533,6,2016,"[12, 35, 18]"
Race,5000000,23745772,2,2016,"[28, 18]"
Silence,46500000,23726626,12,2016,"[18, 36]"
Kevin Hart: What Now?,10000000,23591043,10,2016,[35]
Wish Upon,12000000,23477345,7,2017,"[53, 27, 14]"
Middle School: The Worst Years of My Life,8500000,23311293,10,2016,"[10751, 35]"
Free State of Jones,50000000,23237252,6,2016,"[28, 18, 36, 10752]"
CHiPS,25000000,23190292,3,2017,"[28, 35, 80]"
The Light Between Oceans,20000000,22281732,9,2016,"[18, 10749]"
Fifty Shades of Black,5000000,22113075,1,2016,"[10749, 35]"
Live by Night,65000000,21774432,12,2016,"[80, 18, 53]"
Proud Mary,30000000,21709539,1,2018,"[53, 28, 80]"
Father Figures,25000000,21038441,12,2017,[35]
The Infiltrator,47500000,20718104,7,2016,"[80, 18, 53]"
Keanu,15000000,20688141,4,2016,"[28, 35]"
If Beale Street Could Talk,12000000,19859167,12,2018,"[18, 10749, 80]"
It Comes at Night,5000000,19720203,6,2017,[27]
The Edge of Seventeen,9000000,19096003,11,2016,"[35, 18]"
Before I Fall,5000000,18945682,3,2017,"[18, 9648, 53, 14]"
Battle of the Sexes,25000000,18445379,9,2017,"[35, 18, 36]"
Sorry to Bother You,3200000,18285560,7,2018,"[14, 878, 35]"
Hell Fest,5500000,18119231,9,2018,[27]
The Lobster,4500000,18019834,3,2016,"[53, 35, 18, 10749, 878]"
A Street Cat Named Bob,8000000,17382693,11,2016,"[18, 10751, 35]"
Hardcore Henry,2000000,17187434,4,2016,"[28, 12, 878]"
The Lost City of Z,30000000,17121823,4,2017,"[12, 18, 36]"
The Birth of a Nation,10000000,16891011,10,2016,[18]
Pride and Prejudice and Zombies,28000000,16638300,2,2016,"[10749, 27, 35, 53]"
Upgrade,3000000,16553285,6,2018,"[28, 53, 878]"
The Space Between Us,30000000,16481405,2,2017,"[10749, 12, 878, 18]"
Unfriended: Dark Web,1000000,16434588,7,2018,[27]
Forever My Girl,3500000,16376066,1,2018,"[10749, 18, 10402]"
Unforgettable,12000000,16221211,4,2017,"[18, 53]"
Eighth Grade,2000000,14341016,7,2018,"[35, 18]"
Unsane,1500000,14244931,3,2018,"[27, 53]"
The Sisters Brothers,38000000,13143056,9,2018,"[35, 18, 37]"
Beautiful Boy,25000000,13031424,10,2018,[18]
"Roman J. Israel, Esq.",22000000,12967012,11,2017,[18]
The Other Side of the Door,5000000,12905107,3,2016,"[53, 27]"
Loving,9000000,12898064,11,2016,"[10749, 18]"
Welcome to Marwen,45000000,12874922,12,2018,"[18, 35, 14]"
Hotel Artemis,15000000,12758799,6,2018,"[53, 878, 28]"
The Man Who Knew Infinity,10000000,12382122,4,2016,[18]
A Hologram for the King,35000000,11846010,4,2016,"[35, 18]"
The Belko Experiment,5000000,11792942,3,2017,"[28, 53]"
Can You Ever Forgive Me?,10000000,11752387,10,2018,"[18, 80]"
Shut In,10000000,11360665,11,2016,"[18, 53]"
Friend Request,9900000,11310835,9,2017,"[27, 53]"
The Florida Project,2000000,11295324,10,2017,[18]
The Darkness,4000000,10898293,5,2016,"[27, 53]"
Paterson,5000000,10727536,12,2016,"[35, 18, 10749]"
The Promise,90000000,10551417,4,2017,"[36, 10749, 18]"
The Perfect Match,5000000,10182050,3,2016,"[35, 10749]"
Marshall,12000000,10116816,10,2017,[18]
Kin,30000000,10096821,8,2018,"[878, 28]"
Queen of Katwe,15000000,10055481,9,2016,[18]
Thank You for Your Service,20000000,9985316,10,2017,[99]
I Am Not Your Negro,1000000,9617402,2,2017,[99]
Popstar: Never Stop Never Stopping,20000000,9537120,6,2016,"[35, 10402]"
Incarnate,5000000,9371036,12,2016,"[27, 53]"
Denial,10000000,9263940,9,2016,"[18, 36]"
Meet the Blacks,900000,9097072,4,2016,"[35, 27]"
Stronger,30000000,8786752,9,2017,[18]
Miss Sloane,18000000,7719630,11,2016,"[18, 53]"
Midnight Special,18000000,7680250,3,2016,"[12, 18, 878]"
Churchill,10000000,7582196,6,2017,"[18, 53, 10752]"
Compadres,3000000,7445044,4,2016,"[28, 35]"
The Young Messiah,16800000,7313697,3,2016,[18]
Morgan,8000000,7298786,9,2016,"[27, 878, 53]"
Genius,17000000,7265283,6,2016,"[18, 36]"
Let There Be Light,3000000,7241309,10,2017,[18]
Birth of the Dragon,31000000,7220490,8,2017,"[28, 18]"
Suspiria,20000000,7034615,10,2018,"[27, 14]"
Tulip Fever,25000000,6792768,9,2017,"[18, 10749]"
Just Getting Started,22000000,6756412,12,2017,"[28, 35]"
Fahrenheit 11/9,5000000,6653715,9,2018,[99]
Bleed for This,16000000,6603926,11,2016,[18]
Same Kind of Different as Me,6500000,6423605,10,2017,[18]
Lowriders,916000,6188421,5,2017,[18]
Gotti,10000000,6089100,6,2018,"[80, 18, 36, 53]"
All Saints,2000000,5941994,8,2017,"[18, 35]"
Swiss Army Man,3000000,5837111,6,2016,"[35, 18, 10749, 14, 12]"
The Meddler,3200000,5526942,4,2016,"[35, 18]"
Collide,29200000,5466698,2,2017,"[53, 28]"
Action Point,19000000,5103675,6,2018,"[35, 18]"
Hands of Stone,20000000,5031975,8,2016,[18]
Table 19,5000000,4620399,3,2017,"[35, 18]"
Max Steel,10000000,4563080,10,2016,"[28, 12, 878]"
The Wall,3000000,4495262,5,2017,"[53, 10752, 18]"
Sleight,250000,3934450,4,2017,"[18, 53, 28, 878]"
First Reformed,3500000,3874772,5,2018,[18]
Green Room,5000000,3807503,4,2016,"[27, 80, 53]"
Free Fire,10000000,3793739,4,2017,"[28, 80, 9648]"
Jane Got a Gun,25000000,3771345,1,2016,"[28, 18, 37]"
Destroyer,9000000,3681096,12,2018,"[53, 80, 18, 28]"
Sgt. Stubby: An American Hero,25000000,3645957,4,2018,"[16, 12, 10751, 36, 10752]"
Indivisible,2700000,3588305,10,2018,"[18, 10752]"
The Neon Demon,7500000,3559803,6,2016,"[53, 27, 9648]"
The Disappointments Room,15000000,3503761,9,2016,"[18, 27, 53]"
Borg vs McEnroe,7500000,3257922,4,2018,"[18, 36]"
Thoroughbreds,5000000,3187302,3,2018,"[18, 53]"
A Ghost Story,100000,2769782,7,2017,"[18, 14, 10749]"
American Honey,3500000,2611750,9,2016,[18]
LBJ,20000000,2507181,11,2017,[18]
Lean on Pete,8000000,2455027,4,2018,"[18, 12]"
Hearts Beat Loud,2000000,2420962,6,2018,"[18, 10402, 35]"
Misconduct,11000000,2352511,2,2016,"[18, 53, 9648]"
The Resurrection of Gavin Stone,2000000,2303792,1,2017,"[35, 18]"
Greater,9000000,2000093,8,2016,"[10751, 18]"
USS Indianapolis: Men of Courage,40000000,1663785,11,2016,"[28, 10752]"
The Comedian,15000000,1658706,2,2017,[35]
Queen of the Desert,36000000,1578543,4,2017,"[18, 36]"
Renegades,77500000,1521672,1,2019,"[53, 28]"
Patti Cake$,1000000,1471090,8,2017,[18]
Mandy,6000000,1427656,9,2018,[18]
Columbus,700000,1110511,8,2017,[18]
31,1500000,922727,10,2016,"[27, 53, 9648]"
Believe,3500000,890303,12,2016,[18]
El Chicano,8000000,700261,5,2019,"[18, 28, 80]"
Bilal: A New Breed of Hero,30000000,648599,2,2018,"[28, 12, 16]"
The Bronze,3500000,615816,3,2016,"[18, 35]"
Bitter Harvest,21000000,606162,2,2017,"[10752, 18, 36, 10749]"
Air Strike,65000000,516279,10,2018,"[18, 10752, 28, 12]"
London Fields,8000000,433732,10,2018,"[80, 9648, 53, 18]"
The Bounce Back,3000000,421404,12,2016,[10749]
I Am Wrath,18000000,309608,4,2016,"[28, 80, 18, 53]"
In Dubious Battle,15000000,214182,2,2017,[18]
The Masked Saint,3500000,182695,1,2016,"[80, 28]"
The Fits,170000,169242,6,2016,[18]
Kicks,10000000,150191,9,2016,[12]
Krisha,30000,144822,3,2016,[18]
Teefa in Trouble,1500000,98806,7,2018,"[18, 35, 28, 80]"
Braid,1660000,80745,2,2019,"[53, 18, 27]"
Creative Control,1000000,63014,3,2016,"[18, 878]"
Departure,1100000,27561,3,2017,"[10749, 18]"
Yoga Hosers,5000000,22958,9,2016,"[35, 14, 27]"
Blood Feast,1200000,8708,2,2018,[27]
Higher Power,500000,528,5,2018,"[28, 878, 53]"
